cpu,detail_buf,detail_code,detail_count,detail_dest_node,detail_dest_proc,detail_dest_thread,detail_file,detail_flags,detail_frompid,detail_gid_writer,detail_i_mode,detail_inode,detail_k__dev,detail_kgid,detail_kuid,detail_len,detail_msg,detail_pathname,detail_reply,detail_s_dev_inode,detail_sock,detail_topid,detail_transaction,detail_uid_inode,detail_uid_writer,event,flags,process,raw,tgid,tid,timestamp
7,12970367426014421383,,1,,,,18446743530375385792,,,,33206,57626,0,2000,2000,,,events_to_enable.txt,,266338357,,,,,,read_probe,d..1.,cleaned_trace_s,117,8577,8577,2900937.475804
7,12970367426014421384,,1,,,,18446743530375385792,,,,33206,57626,0,2000,2000,,,events_to_enable.txt,,266338357,,,,,,read_probe,d..1.,cleaned_trace_s,118,8577,8577,2900937.475808
7,12970367426014421385,,1,,,,18446743530375385792,,,,33206,57626,0,2000,2000,,,events_to_enable.txt,,266338357,,,,,,read_probe,d..1.,cleaned_trace_s,119,8577,8577,2900937.475811
7,12970367426014421386,,1,,,,18446743530375385792,,,,33206,57626,0,2000,2000,,,events_to_enable.txt,,266338357,,,,,,read_probe,d..1.,cleaned_trace_s,120,8577,8577,2900937.475814
7,12970367426014421387,,1,,,,18446743530375385792,,,,33206,57626,0,2000,2000,,,events_to_enable.txt,,266338357,,,,,,read_probe,d..1.,cleaned_trace_s,121,8577,8577,2900937.475817
7,12970367426014421388,,1,,,,18446743530375385792,,,,33206,57626,0,2000,2000,,,events_to_enable.txt,,266338357,,,,,,read_probe,d..1.,cleaned_trace_s,122,8577,8577,2900937.475819
7,12970367426014421389,,1,,,,18446743530375385792,,,,33206,57626,0,2000,2000,,,events_to_enable.txt,,266338357,,,,,,read_probe,d..1.,cleaned_trace_s,123,8577,8577,2900937.475822
7,12970367426014421390,,1,,,,18446743530375385792,,,,33206,57626,0,2000,2000,,,events_to_enable.txt,,266338357,,,,,,read_probe,d..1.,cleaned_trace_s,124,8577,8577,2900937.475826
7,12970367426014421391,,1,,,,18446743530375385792,,,,33206,57626,0,2000,2000,,,events_to_enable.txt,,266338357,,,,,,read_probe,d..1.,cleaned_trace_s,125,8577,8577,2900937.475829
7,12970367426014421392,,1,,,,18446743530375385792,,,,33206,57626,0,2000,2000,,,events_to_enable.txt,,266338357,,,,,,read_probe,d..1.,cleaned_trace_s,126,8577,8577,2900937.475832
7,12970367426014421393,,1,,,,18446743530375385792,,,,33206,57626,0,2000,2000,,,events_to_enable.txt,,266338357,,,,,,read_probe,d..1.,cleaned_trace_s,127,8577,8577,2900937.475835
7,12970367426014421394,,1,,,,18446743530375385792,,,,33206,57626,0,2000,2000,,,events_to_enable.txt,,266338357,,,,,,read_probe,d..1.,cleaned_trace_s,128,8577,8577,2900937.475837
7,12970367426014421395,,1,,,,18446743530375385792,,,,33206,57626,0,2000,2000,,,events_to_enable.txt,,266338357,,,,,,read_probe,d..1.,cleaned_trace_s,129,8577,8577,2900937.475842
7,12970367426014421396,,1,,,,18446743530375385792,,,,33206,57626,0,2000,2000,,,events_to_enable.txt,,266338357,,,,,,read_probe,d..1.,cleaned_trace_s,130,8577,8577,2900937.475845
7,12970367426014421397,,1,,,,18446743530375385792,,,,33206,57626,0,2000,2000,,,events_to_enable.txt,,266338357,,,,,,read_probe,d..1.,cleaned_trace_s,131,8577,8577,2900937.475848
7,12970367426014421398,,1,,,,18446743530375385792,,,,33206,57626,0,2000,2000,,,events_to_enable.txt,,266338357,,,,,,read_probe,d..1.,cleaned_trace_s,132,8577,8577,2900937.475851
